member #,member name,topic
600,Michael Hall,Logic Programming
600,Michael Hall,"Communication, Coordination, and Collaboration"
600,Michael Hall,Algorithmic Game Theory
601,Erin Gray,Rule Mining and Pattern Mining
601,Erin Gray,Adversarial Learning and Robustness
601,Erin Gray,Privacy-Aware Machine Learning
601,Erin Gray,"Conformant, Contingent, and Adversarial Planning"
601,Erin Gray,Planning under Uncertainty
601,Erin Gray,Uncertainty Representations
601,Erin Gray,Machine Learning for Computer Vision
601,Erin Gray,Intelligent Database Systems
601,Erin Gray,Scalability of Machine Learning Systems
602,Jeremy Cuevas,Scene Analysis and Understanding
602,Jeremy Cuevas,User Experience and Usability
602,Jeremy Cuevas,Approximate Inference
602,Jeremy Cuevas,Search in Planning and Scheduling
602,Jeremy Cuevas,"Conformant, Contingent, and Adversarial Planning"
602,Jeremy Cuevas,Conversational AI and Dialogue Systems
602,Jeremy Cuevas,Multiagent Learning
602,Jeremy Cuevas,Satisfiability
602,Jeremy Cuevas,Lifelong and Continual Learning
603,Jason Ramirez,Text Mining
603,Jason Ramirez,Machine Learning for Robotics
603,Jason Ramirez,Probabilistic Programming
603,Jason Ramirez,Evaluation and Analysis in Machine Learning
603,Jason Ramirez,Human Computation and Crowdsourcing
603,Jason Ramirez,Mining Codebase and Software Repositories
603,Jason Ramirez,Inductive and Co-Inductive Logic Programming
604,Kimberly Anderson,Reinforcement Learning Algorithms
604,Kimberly Anderson,Adversarial Learning and Robustness
604,Kimberly Anderson,Dimensionality Reduction/Feature Selection
604,Kimberly Anderson,Multi-Class/Multi-Label Learning and Extreme Classification
604,Kimberly Anderson,Spatial and Temporal Models of Uncertainty
604,Kimberly Anderson,Sentence-Level Semantics and Textual Inference
604,Kimberly Anderson,Logic Foundations
605,Michael Barton,Philosophical Foundations of AI
605,Michael Barton,Partially Observable and Unobservable Domains
605,Michael Barton,Text Mining
605,Michael Barton,Learning Theory
605,Michael Barton,Non-Probabilistic Models of Uncertainty
605,Michael Barton,Scene Analysis and Understanding
606,Jordan Parrish,"Communication, Coordination, and Collaboration"
606,Jordan Parrish,Multiagent Learning
606,Jordan Parrish,Ensemble Methods
606,Jordan Parrish,Classical Planning
606,Jordan Parrish,Ontologies
606,Jordan Parrish,Mechanism Design
606,Jordan Parrish,Adversarial Learning and Robustness
607,Andrew Allen,Fair Division
607,Andrew Allen,Machine Translation
607,Andrew Allen,Probabilistic Modelling
607,Andrew Allen,Physical Sciences
607,Andrew Allen,3D Computer Vision
607,Andrew Allen,Reinforcement Learning Theory
607,Andrew Allen,Multimodal Perception and Sensor Fusion
607,Andrew Allen,Databases
607,Andrew Allen,Case-Based Reasoning
607,Andrew Allen,Life Sciences
608,Angela Vargas,Multilingualism and Linguistic Diversity
608,Angela Vargas,Web Search
608,Angela Vargas,Logic Foundations
608,Angela Vargas,Bayesian Networks
608,Angela Vargas,Imitation Learning and Inverse Reinforcement Learning
609,Sandra Mason,Discourse and Pragmatics
609,Sandra Mason,Kernel Methods
609,Sandra Mason,Relational Learning
609,Sandra Mason,Education
609,Sandra Mason,Automated Reasoning and Theorem Proving
609,Sandra Mason,Preferences
609,Sandra Mason,Video Understanding and Activity Analysis
609,Sandra Mason,"Energy, Environment, and Sustainability"
610,Andrew Morris,Speech and Multimodality
610,Andrew Morris,Planning and Decision Support for Human-Machine Teams
610,Andrew Morris,Deep Neural Network Algorithms
610,Andrew Morris,Bayesian Networks
610,Andrew Morris,Human-in-the-loop Systems
610,Andrew Morris,Fair Division
610,Andrew Morris,Explainability and Interpretability in Machine Learning
611,Jose Daniels,Cognitive Modelling
611,Jose Daniels,Ontologies
611,Jose Daniels,Distributed Problem Solving
611,Jose Daniels,Multilingualism and Linguistic Diversity
611,Jose Daniels,Preferences
611,Jose Daniels,Health and Medicine
611,Jose Daniels,Machine Ethics
611,Jose Daniels,"Linguistic Theories, Cognitive Modelling, and Psycholinguistics"
611,Jose Daniels,Representation Learning
612,Chelsey White,Preferences
612,Chelsey White,Environmental Impacts of AI
612,Chelsey White,Constraint Satisfaction
612,Chelsey White,"Communication, Coordination, and Collaboration"
612,Chelsey White,Standards and Certification
613,Jordan Sutton,Software Engineering
613,Jordan Sutton,Rule Mining and Pattern Mining
613,Jordan Sutton,Societal Impacts of AI
613,Jordan Sutton,"Graph Mining, Social Network Analysis, and Community Mining"
613,Jordan Sutton,Artificial Life
613,Jordan Sutton,Discourse and Pragmatics
613,Jordan Sutton,"AI in Law, Justice, Regulation, and Governance"
613,Jordan Sutton,Scene Analysis and Understanding
613,Jordan Sutton,Multimodal Learning
613,Jordan Sutton,"Understanding People: Theories, Concepts, and Methods"
614,Kristina Clarke,Reasoning about Knowledge and Beliefs
614,Kristina Clarke,"Mining Visual, Multimedia, and Multimodal Data"
614,Kristina Clarke,Intelligent Database Systems
614,Kristina Clarke,Agent Theories and Models
614,Kristina Clarke,Swarm Intelligence
615,William Johnson,Intelligent Virtual Agents
615,William Johnson,Search in Planning and Scheduling
615,William Johnson,Agent-Based Simulation and Complex Systems
615,William Johnson,Ontologies
615,William Johnson,Information Extraction
616,Michael Brown,Dimensionality Reduction/Feature Selection
616,Michael Brown,Genetic Algorithms
616,Michael Brown,Other Topics in Constraints and Satisfiability
616,Michael Brown,Relational Learning
616,Michael Brown,Time-Series and Data Streams
616,Michael Brown,Visual Reasoning and Symbolic Representation
616,Michael Brown,Adversarial Search
616,Michael Brown,Abductive Reasoning and Diagnosis
617,Tracy Jones,Reinforcement Learning with Human Feedback
617,Tracy Jones,Real-Time Systems
617,Tracy Jones,Search and Machine Learning
617,Tracy Jones,Non-Probabilistic Models of Uncertainty
617,Tracy Jones,Agent Theories and Models
617,Tracy Jones,Multi-Robot Systems
617,Tracy Jones,Answer Set Programming
617,Tracy Jones,"Model Adaptation, Compression, and Distillation"
618,Matthew Campbell,Adversarial Attacks on CV Systems
618,Matthew Campbell,Multi-Instance/Multi-View Learning
618,Matthew Campbell,"Segmentation, Grouping, and Shape Analysis"
618,Matthew Campbell,Mining Spatial and Temporal Data
618,Matthew Campbell,Intelligent Virtual Agents
619,Jessica Campbell,"Plan Execution, Monitoring, and Repair"
619,Jessica Campbell,Mining Heterogeneous Data
619,Jessica Campbell,"Model Adaptation, Compression, and Distillation"
619,Jessica Campbell,Efficient Methods for Machine Learning
619,Jessica Campbell,Adversarial Search
619,Jessica Campbell,Kernel Methods
619,Jessica Campbell,Probabilistic Programming
619,Jessica Campbell,Spatial and Temporal Models of Uncertainty
619,Jessica Campbell,Knowledge Graphs and Open Linked Data
619,Jessica Campbell,Life Sciences
620,Alexandria Hudson,Knowledge Compilation
620,Alexandria Hudson,Economic Paradigms
620,Alexandria Hudson,Other Topics in Planning and Search
620,Alexandria Hudson,Machine Learning for Robotics
620,Alexandria Hudson,Explainability (outside Machine Learning)
620,Alexandria Hudson,Decision and Utility Theory
620,Alexandria Hudson,Time-Series and Data Streams
620,Alexandria Hudson,Machine Translation
620,Alexandria Hudson,Robot Manipulation
620,Alexandria Hudson,Other Topics in Humans and AI
621,Cody Owens,Logic Programming
621,Cody Owens,Search and Machine Learning
621,Cody Owens,Blockchain Technology
621,Cody Owens,Artificial Life
621,Cody Owens,"Human-Computer Teamwork, Team Formation, and Collaboration"
621,Cody Owens,Mining Codebase and Software Repositories
621,Cody Owens,Knowledge Acquisition
621,Cody Owens,Constraint Satisfaction
622,Leah Oneal,Scene Analysis and Understanding
622,Leah Oneal,Evolutionary Learning
622,Leah Oneal,User Modelling and Personalisation
622,Leah Oneal,Machine Learning for Robotics
622,Leah Oneal,Evaluation and Analysis in Machine Learning
622,Leah Oneal,Algorithmic Game Theory
623,Scott Ross,"Localisation, Mapping, and Navigation"
623,Scott Ross,Transparency
623,Scott Ross,Game Playing
623,Scott Ross,Distributed Machine Learning
623,Scott Ross,Semi-Supervised Learning
623,Scott Ross,Human-in-the-loop Systems
623,Scott Ross,Fairness and Bias
624,Brian Lam,Scalability of Machine Learning Systems
624,Brian Lam,Kernel Methods
624,Brian Lam,Uncertainty Representations
624,Brian Lam,Data Visualisation and Summarisation
624,Brian Lam,Image and Video Generation
624,Brian Lam,Speech and Multimodality
624,Brian Lam,Approximate Inference
624,Brian Lam,Reinforcement Learning Algorithms
624,Brian Lam,Deep Neural Network Algorithms
624,Brian Lam,Classical Planning
625,Johnny Bennett,Philosophy and Ethics
625,Johnny Bennett,Logic Foundations
625,Johnny Bennett,Deep Neural Network Architectures
625,Johnny Bennett,Mixed Discrete and Continuous Optimisation
625,Johnny Bennett,"Belief Revision, Update, and Merging"
625,Johnny Bennett,Standards and Certification
625,Johnny Bennett,NLP Resources and Evaluation
625,Johnny Bennett,Bayesian Networks
625,Johnny Bennett,Probabilistic Programming
626,Curtis Garcia,Learning Human Values and Preferences
626,Curtis Garcia,Lexical Semantics
626,Curtis Garcia,Dimensionality Reduction/Feature Selection
626,Curtis Garcia,Efficient Methods for Machine Learning
626,Curtis Garcia,Argumentation
627,Ashley Torres,Syntax and Parsing
627,Ashley Torres,Semi-Supervised Learning
627,Ashley Torres,Computational Social Choice
627,Ashley Torres,Sentence-Level Semantics and Textual Inference
627,Ashley Torres,Planning and Decision Support for Human-Machine Teams
627,Ashley Torres,Education
627,Ashley Torres,Entertainment
628,Jeffrey Hernandez,Commonsense Reasoning
628,Jeffrey Hernandez,Answer Set Programming
628,Jeffrey Hernandez,Approximate Inference
628,Jeffrey Hernandez,Responsible AI
628,Jeffrey Hernandez,Philosophy and Ethics
628,Jeffrey Hernandez,Human Computation and Crowdsourcing
628,Jeffrey Hernandez,Optimisation for Robotics
628,Jeffrey Hernandez,"Continual, Online, and Real-Time Planning"
629,Christina Nash,Human-Aware Planning
629,Christina Nash,"Localisation, Mapping, and Navigation"
629,Christina Nash,Dimensionality Reduction/Feature Selection
629,Christina Nash,Trust
629,Christina Nash,Planning and Decision Support for Human-Machine Teams
629,Christina Nash,Planning and Machine Learning
629,Christina Nash,Semantic Web
630,Melissa Walker,Reinforcement Learning Algorithms
630,Melissa Walker,Active Learning
630,Melissa Walker,Dimensionality Reduction/Feature Selection
630,Melissa Walker,NLP Resources and Evaluation
630,Melissa Walker,Data Visualisation and Summarisation
630,Melissa Walker,Other Topics in Computer Vision
630,Melissa Walker,Activity and Plan Recognition
631,Kristin Hooper,Environmental Impacts of AI
631,Kristin Hooper,Non-Probabilistic Models of Uncertainty
631,Kristin Hooper,Time-Series and Data Streams
631,Kristin Hooper,Adversarial Learning and Robustness
631,Kristin Hooper,Planning under Uncertainty
631,Kristin Hooper,Deep Reinforcement Learning
632,Doris Schultz,Automated Reasoning and Theorem Proving
632,Doris Schultz,Unsupervised and Self-Supervised Learning
632,Doris Schultz,Mining Spatial and Temporal Data
632,Doris Schultz,Anomaly/Outlier Detection
632,Doris Schultz,Summarisation
632,Doris Schultz,"Other Topics Related to Fairness, Ethics, or Trust"
632,Doris Schultz,Adversarial Learning and Robustness
632,Doris Schultz,Automated Learning and Hyperparameter Tuning
632,Doris Schultz,Real-Time Systems
633,James Galloway,Entertainment
633,James Galloway,Mining Spatial and Temporal Data
633,James Galloway,Fair Division
633,James Galloway,Knowledge Acquisition
633,James Galloway,Mining Semi-Structured Data
633,James Galloway,Distributed CSP and Optimisation
634,Emily Harper,Active Learning
634,Emily Harper,Other Multidisciplinary Topics
634,Emily Harper,Health and Medicine
634,Emily Harper,User Modelling and Personalisation
634,Emily Harper,Other Topics in Data Mining
634,Emily Harper,Constraint Learning and Acquisition
634,Emily Harper,Graphical Models
634,Emily Harper,Digital Democracy
634,Emily Harper,Multiagent Planning
635,Paul Hampton,Deep Neural Network Architectures
635,Paul Hampton,Arts and Creativity
635,Paul Hampton,Learning Human Values and Preferences
635,Paul Hampton,Fair Division
635,Paul Hampton,Other Topics in Uncertainty in AI
635,Paul Hampton,Robot Rights
635,Paul Hampton,Intelligent Virtual Agents
636,Mary Moore,Qualitative Reasoning
636,Mary Moore,Graph-Based Machine Learning
636,Mary Moore,Mining Codebase and Software Repositories
636,Mary Moore,Privacy and Security
636,Mary Moore,Computer-Aided Education
636,Mary Moore,Large Language Models
636,Mary Moore,Mining Spatial and Temporal Data
636,Mary Moore,Online Learning and Bandits
636,Mary Moore,Algorithmic Game Theory
637,Jennifer Reyes,"Coordination, Organisations, Institutions, and Norms"
637,Jennifer Reyes,Distributed Machine Learning
637,Jennifer Reyes,Morality and Value-Based AI
637,Jennifer Reyes,"Plan Execution, Monitoring, and Repair"
637,Jennifer Reyes,"Localisation, Mapping, and Navigation"
637,Jennifer Reyes,User Experience and Usability
638,David Gentry,Life Sciences
638,David Gentry,Argumentation
638,David Gentry,Meta-Learning
638,David Gentry,Adversarial Search
638,David Gentry,Search and Machine Learning
638,David Gentry,Evaluation and Analysis in Machine Learning
638,David Gentry,Computational Social Choice
638,David Gentry,Deep Generative Models and Auto-Encoders
638,David Gentry,Biometrics
639,Christopher Garcia,Multiagent Learning
639,Christopher Garcia,Combinatorial Search and Optimisation
639,Christopher Garcia,Data Compression
639,Christopher Garcia,Machine Learning for Robotics
639,Christopher Garcia,Syntax and Parsing
639,Christopher Garcia,Clustering
640,Anthony Cardenas,Transparency
640,Anthony Cardenas,"Phonology, Morphology, and Word Segmentation"
640,Anthony Cardenas,Intelligent Virtual Agents
640,Anthony Cardenas,Autonomous Driving
640,Anthony Cardenas,Aerospace
640,Anthony Cardenas,Trust
640,Anthony Cardenas,Multimodal Learning
640,Anthony Cardenas,Intelligent Database Systems
641,Randy Kelley,Machine Learning for Robotics
641,Randy Kelley,Behaviour Learning and Control for Robotics
641,Randy Kelley,Engineering Multiagent Systems
641,Randy Kelley,Multi-Instance/Multi-View Learning
641,Randy Kelley,"Mining Visual, Multimedia, and Multimodal Data"
641,Randy Kelley,Environmental Impacts of AI
642,Katherine Barrera,User Experience and Usability
642,Katherine Barrera,Machine Ethics
642,Katherine Barrera,Constraint Programming
642,Katherine Barrera,"Geometric, Spatial, and Temporal Reasoning"
642,Katherine Barrera,Image and Video Generation
642,Katherine Barrera,Multimodal Perception and Sensor Fusion
643,Morgan Williams,Mining Semi-Structured Data
643,Morgan Williams,Argumentation
643,Morgan Williams,Uncertainty Representations
643,Morgan Williams,Transparency
643,Morgan Williams,Causality
643,Morgan Williams,Federated Learning
643,Morgan Williams,Routing
643,Morgan Williams,Agent Theories and Models
643,Morgan Williams,Language and Vision
644,Craig Adams,Aerospace
644,Craig Adams,"Linguistic Theories, Cognitive Modelling, and Psycholinguistics"
644,Craig Adams,Text Mining
644,Craig Adams,Non-Probabilistic Models of Uncertainty
644,Craig Adams,Other Topics in Computer Vision
645,Kevin Fox,Reinforcement Learning Algorithms
645,Kevin Fox,Language and Vision
645,Kevin Fox,"Linguistic Theories, Cognitive Modelling, and Psycholinguistics"
645,Kevin Fox,Knowledge Graphs and Open Linked Data
645,Kevin Fox,"Belief Revision, Update, and Merging"
645,Kevin Fox,Knowledge Compilation
645,Kevin Fox,Machine Ethics
645,Kevin Fox,Multilingualism and Linguistic Diversity
646,Laura Valenzuela,Clustering
646,Laura Valenzuela,Robot Manipulation
646,Laura Valenzuela,Search and Machine Learning
646,Laura Valenzuela,Philosophy and Ethics
646,Laura Valenzuela,Mechanism Design
647,Joshua Stewart,NLP Resources and Evaluation
647,Joshua Stewart,"Other Topics Related to Fairness, Ethics, or Trust"
647,Joshua Stewart,Machine Ethics
647,Joshua Stewart,Description Logics
647,Joshua Stewart,Computer Vision Theory
647,Joshua Stewart,Economics and Finance
647,Joshua Stewart,Speech and Multimodality
648,Bryan Peterson,"AI in Law, Justice, Regulation, and Governance"
648,Bryan Peterson,Human-Robot Interaction
648,Bryan Peterson,Digital Democracy
648,Bryan Peterson,Syntax and Parsing
648,Bryan Peterson,"Energy, Environment, and Sustainability"
648,Bryan Peterson,Robot Planning and Scheduling
648,Bryan Peterson,Transportation
649,Troy Moore,Other Topics in Natural Language Processing
649,Troy Moore,Summarisation
649,Troy Moore,Ontologies
649,Troy Moore,Databases
649,Troy Moore,"Model Adaptation, Compression, and Distillation"
649,Troy Moore,Fair Division
650,Kyle Shepard,Inductive and Co-Inductive Logic Programming
650,Kyle Shepard,Digital Democracy
650,Kyle Shepard,Other Topics in Knowledge Representation and Reasoning
650,Kyle Shepard,Mechanism Design
650,Kyle Shepard,Mobility
650,Kyle Shepard,Argumentation
651,Debra Dixon,Bioinformatics
651,Debra Dixon,"Phonology, Morphology, and Word Segmentation"
651,Debra Dixon,Knowledge Representation Languages
651,Debra Dixon,Lexical Semantics
651,Debra Dixon,Mining Heterogeneous Data
651,Debra Dixon,Question Answering
651,Debra Dixon,Life Sciences
652,Samuel Ramirez,"Continual, Online, and Real-Time Planning"
652,Samuel Ramirez,Computational Social Choice
652,Samuel Ramirez,Engineering Multiagent Systems
652,Samuel Ramirez,"Human-Computer Teamwork, Team Formation, and Collaboration"
652,Samuel Ramirez,Bioinformatics
652,Samuel Ramirez,Federated Learning
652,Samuel Ramirez,Other Topics in Robotics
652,Samuel Ramirez,Logic Foundations
653,Kristen Adams,Algorithmic Game Theory
653,Kristen Adams,Learning Preferences or Rankings
653,Kristen Adams,Physical Sciences
653,Kristen Adams,Other Topics in Machine Learning
653,Kristen Adams,Anomaly/Outlier Detection
653,Kristen Adams,Activity and Plan Recognition
653,Kristen Adams,Scalability of Machine Learning Systems
653,Kristen Adams,Human-Aware Planning and Behaviour Prediction
653,Kristen Adams,Distributed Problem Solving
654,Ann Bennett,Other Topics in Computer Vision
654,Ann Bennett,"Constraints, Data Mining, and Machine Learning"
654,Ann Bennett,Adversarial Search
654,Ann Bennett,Computational Social Choice
654,Ann Bennett,Relational Learning
655,Joshua Harris,Game Playing
655,Joshua Harris,Fairness and Bias
655,Joshua Harris,Planning and Decision Support for Human-Machine Teams
655,Joshua Harris,Mining Codebase and Software Repositories
655,Joshua Harris,Environmental Impacts of AI
655,Joshua Harris,Internet of Things
655,Joshua Harris,Machine Learning for Robotics
655,Joshua Harris,Knowledge Compilation
655,Joshua Harris,Mining Spatial and Temporal Data
656,Regina Rose,Adversarial Attacks on CV Systems
656,Regina Rose,Online Learning and Bandits
656,Regina Rose,Other Topics in Machine Learning
656,Regina Rose,Representation Learning
656,Regina Rose,Computer-Aided Education
656,Regina Rose,Multimodal Learning
656,Regina Rose,Reasoning about Action and Change
656,Regina Rose,Big Data and Scalability
657,Emily Ramirez,Other Topics in Multiagent Systems
657,Emily Ramirez,Data Stream Mining
657,Emily Ramirez,"Continual, Online, and Real-Time Planning"
657,Emily Ramirez,Constraint Learning and Acquisition
657,Emily Ramirez,Education
658,Keith Clark,Bayesian Learning
658,Keith Clark,Behavioural Game Theory
658,Keith Clark,Mining Semi-Structured Data
658,Keith Clark,Computer Games
658,Keith Clark,Semi-Supervised Learning
658,Keith Clark,Text Mining
658,Keith Clark,Search in Planning and Scheduling
658,Keith Clark,Knowledge Representation Languages
659,April Palmer,Social Sciences
659,April Palmer,Ontologies
659,April Palmer,Computational Social Choice
659,April Palmer,Sequential Decision Making
659,April Palmer,Machine Learning for Robotics
659,April Palmer,Voting Theory
659,April Palmer,Smart Cities and Urban Planning
659,April Palmer,Swarm Intelligence
659,April Palmer,"Localisation, Mapping, and Navigation"
659,April Palmer,Search in Planning and Scheduling
660,Timothy Johnson,Human-Aware Planning
660,Timothy Johnson,Economics and Finance
660,Timothy Johnson,Explainability in Computer Vision
660,Timothy Johnson,Ensemble Methods
660,Timothy Johnson,Explainability (outside Machine Learning)
660,Timothy Johnson,Machine Learning for Computer Vision
660,Timothy Johnson,User Modelling and Personalisation
660,Timothy Johnson,Image and Video Generation
660,Timothy Johnson,Imitation Learning and Inverse Reinforcement Learning
661,William Fitzgerald,Logic Foundations
661,William Fitzgerald,Engineering Multiagent Systems
661,William Fitzgerald,Randomised Algorithms
661,William Fitzgerald,Accountability
661,William Fitzgerald,Semantic Web
661,William Fitzgerald,Dimensionality Reduction/Feature Selection
661,William Fitzgerald,Constraint Learning and Acquisition
661,William Fitzgerald,Machine Learning for NLP
661,William Fitzgerald,Search in Planning and Scheduling
662,Victoria Munoz,Philosophical Foundations of AI
662,Victoria Munoz,Description Logics
662,Victoria Munoz,Computer-Aided Education
662,Victoria Munoz,Automated Reasoning and Theorem Proving
662,Victoria Munoz,"Face, Gesture, and Pose Recognition"
663,Wyatt Phillips,Online Learning and Bandits
663,Wyatt Phillips,Personalisation and User Modelling
663,Wyatt Phillips,Partially Observable and Unobservable Domains
663,Wyatt Phillips,Adversarial Search
663,Wyatt Phillips,Active Learning
663,Wyatt Phillips,Routing
663,Wyatt Phillips,Conversational AI and Dialogue Systems
663,Wyatt Phillips,Game Playing
664,Nathan Bender,Algorithmic Game Theory
664,Nathan Bender,Ensemble Methods
664,Nathan Bender,Fair Division
664,Nathan Bender,Knowledge Representation Languages
664,Nathan Bender,Mining Semi-Structured Data
664,Nathan Bender,Smart Cities and Urban Planning
664,Nathan Bender,Lifelong and Continual Learning
665,Briana Chavez,Fair Division
665,Briana Chavez,Personalisation and User Modelling
665,Briana Chavez,Constraint Satisfaction
665,Briana Chavez,Optimisation for Robotics
665,Briana Chavez,Video Understanding and Activity Analysis
665,Briana Chavez,Question Answering
665,Briana Chavez,Social Networks
666,Timothy James,Human-in-the-loop Systems
666,Timothy James,Robot Planning and Scheduling
666,Timothy James,Approximate Inference
666,Timothy James,Search and Machine Learning
666,Timothy James,Other Topics in Constraints and Satisfiability
666,Timothy James,Knowledge Acquisition and Representation for Planning
666,Timothy James,Visual Reasoning and Symbolic Representation
667,Robert Reynolds,Machine Learning for NLP
667,Robert Reynolds,Aerospace
667,Robert Reynolds,Graph-Based Machine Learning
667,Robert Reynolds,Distributed CSP and Optimisation
667,Robert Reynolds,"Model Adaptation, Compression, and Distillation"
668,Hunter Hansen,Search and Machine Learning
668,Hunter Hansen,Logic Programming
668,Hunter Hansen,Ontologies
668,Hunter Hansen,"Mining Visual, Multimedia, and Multimodal Data"
668,Hunter Hansen,Agent Theories and Models
668,Hunter Hansen,Algorithmic Game Theory
669,Patricia Fry,Planning and Decision Support for Human-Machine Teams
669,Patricia Fry,Voting Theory
669,Patricia Fry,Commonsense Reasoning
669,Patricia Fry,Sentence-Level Semantics and Textual Inference
669,Patricia Fry,Combinatorial Search and Optimisation
669,Patricia Fry,Fuzzy Sets and Systems
669,Patricia Fry,Fair Division
669,Patricia Fry,Global Constraints
670,Jessica Woodard,Graphical Models
670,Jessica Woodard,Human-Robot/Agent Interaction
670,Jessica Woodard,Deep Learning Theory
670,Jessica Woodard,Reinforcement Learning Algorithms
670,Jessica Woodard,Probabilistic Programming
670,Jessica Woodard,Databases
670,Jessica Woodard,Deep Neural Network Algorithms
671,Sara Garner,Constraint Optimisation
671,Sara Garner,Dimensionality Reduction/Feature Selection
671,Sara Garner,Visual Reasoning and Symbolic Representation
671,Sara Garner,Qualitative Reasoning
671,Sara Garner,Databases
671,Sara Garner,Swarm Intelligence
671,Sara Garner,Environmental Impacts of AI
671,Sara Garner,Transparency
671,Sara Garner,Adversarial Search
672,Scott Jones,AI for Social Good
672,Scott Jones,Mining Codebase and Software Repositories
672,Scott Jones,Economic Paradigms
672,Scott Jones,Human-Robot Interaction
672,Scott Jones,Mining Heterogeneous Data
672,Scott Jones,Robot Rights
672,Scott Jones,Knowledge Compilation
672,Scott Jones,Automated Learning and Hyperparameter Tuning
672,Scott Jones,Satisfiability
673,Timothy Pollard,Agent Theories and Models
673,Timothy Pollard,"Linguistic Theories, Cognitive Modelling, and Psycholinguistics"
673,Timothy Pollard,Economics and Finance
673,Timothy Pollard,"Continual, Online, and Real-Time Planning"
673,Timothy Pollard,Representation Learning for Computer Vision
673,Timothy Pollard,Life Sciences
673,Timothy Pollard,"AI in Law, Justice, Regulation, and Governance"
674,Alejandra Cannon,Reasoning about Action and Change
674,Alejandra Cannon,Other Topics in Robotics
674,Alejandra Cannon,Arts and Creativity
674,Alejandra Cannon,Non-Probabilistic Models of Uncertainty
674,Alejandra Cannon,Other Topics in Data Mining
674,Alejandra Cannon,"Human-Computer Teamwork, Team Formation, and Collaboration"
674,Alejandra Cannon,Information Retrieval
675,Angela Davis,Entertainment
675,Angela Davis,Reinforcement Learning Algorithms
675,Angela Davis,Learning Theory
675,Angela Davis,Case-Based Reasoning
675,Angela Davis,Semi-Supervised Learning
675,Angela Davis,Scene Analysis and Understanding
675,Angela Davis,Reinforcement Learning Theory
675,Angela Davis,Optimisation in Machine Learning
675,Angela Davis,Non-Monotonic Reasoning
676,Julie Hunt,Spatial and Temporal Models of Uncertainty
676,Julie Hunt,Deep Learning Theory
676,Julie Hunt,Data Compression
676,Julie Hunt,Active Learning
676,Julie Hunt,Classical Planning
677,Andrew Weaver,Inductive and Co-Inductive Logic Programming
677,Andrew Weaver,Abductive Reasoning and Diagnosis
677,Andrew Weaver,Privacy-Aware Machine Learning
677,Andrew Weaver,Swarm Intelligence
677,Andrew Weaver,Relational Learning
677,Andrew Weaver,Stochastic Models and Probabilistic Inference
677,Andrew Weaver,Non-Probabilistic Models of Uncertainty
677,Andrew Weaver,Reinforcement Learning with Human Feedback
677,Andrew Weaver,Language and Vision
678,Melanie Bell,Interpretability and Analysis of NLP Models
678,Melanie Bell,Image and Video Retrieval
678,Melanie Bell,Other Topics in Constraints and Satisfiability
678,Melanie Bell,Adversarial Attacks on CV Systems
678,Melanie Bell,Planning under Uncertainty
678,Melanie Bell,Fuzzy Sets and Systems
679,Dawn Howard,"Phonology, Morphology, and Word Segmentation"
679,Dawn Howard,Motion and Tracking
679,Dawn Howard,Kernel Methods
679,Dawn Howard,Multi-Robot Systems
679,Dawn Howard,Stochastic Optimisation
679,Dawn Howard,Preferences
679,Dawn Howard,Explainability (outside Machine Learning)
679,Dawn Howard,Mixed Discrete/Continuous Planning
679,Dawn Howard,User Experience and Usability
679,Dawn Howard,Computer Games
680,Victor Baker,Swarm Intelligence
680,Victor Baker,Life Sciences
680,Victor Baker,Adversarial Search
680,Victor Baker,Human-Machine Interaction Techniques and Devices
680,Victor Baker,Robot Planning and Scheduling
680,Victor Baker,Safety and Robustness
681,Elizabeth Ford,Reinforcement Learning Theory
681,Elizabeth Ford,Fuzzy Sets and Systems
681,Elizabeth Ford,Automated Learning and Hyperparameter Tuning
681,Elizabeth Ford,Other Topics in Data Mining
681,Elizabeth Ford,Internet of Things
681,Elizabeth Ford,Intelligent Virtual Agents
682,Jennifer Lewis,Philosophical Foundations of AI
682,Jennifer Lewis,Case-Based Reasoning
682,Jennifer Lewis,Causal Learning
682,Jennifer Lewis,Unsupervised and Self-Supervised Learning
682,Jennifer Lewis,Non-Probabilistic Models of Uncertainty
683,Christie Smith,Imitation Learning and Inverse Reinforcement Learning
683,Christie Smith,Aerospace
683,Christie Smith,"Plan Execution, Monitoring, and Repair"
683,Christie Smith,Multi-Instance/Multi-View Learning
683,Christie Smith,Personalisation and User Modelling
683,Christie Smith,Constraint Learning and Acquisition
684,Nicole Edwards,Information Retrieval
684,Nicole Edwards,Meta-Learning
684,Nicole Edwards,Explainability (outside Machine Learning)
684,Nicole Edwards,Transportation
684,Nicole Edwards,Distributed Problem Solving
684,Nicole Edwards,Robot Manipulation
684,Nicole Edwards,Health and Medicine
684,Nicole Edwards,Medical and Biological Imaging
684,Nicole Edwards,Optimisation in Machine Learning
684,Nicole Edwards,Unsupervised and Self-Supervised Learning
685,Michael Stanley,Computer-Aided Education
685,Michael Stanley,Randomised Algorithms
685,Michael Stanley,Language Grounding
685,Michael Stanley,Activity and Plan Recognition
685,Michael Stanley,Probabilistic Modelling
685,Michael Stanley,Consciousness and Philosophy of Mind
685,Michael Stanley,Recommender Systems
685,Michael Stanley,Mining Codebase and Software Repositories
685,Michael Stanley,Abductive Reasoning and Diagnosis
685,Michael Stanley,Deep Neural Network Architectures
