member #,member name,submission #,bid
852,Patricia Stevenson,311,maybe
852,Patricia Stevenson,580,maybe
852,Patricia Stevenson,631,maybe
852,Patricia Stevenson,682,maybe
852,Patricia Stevenson,783,yes
852,Patricia Stevenson,865,maybe
852,Patricia Stevenson,898,yes
852,Patricia Stevenson,931,yes
853,Joseph Pena,62,yes
853,Joseph Pena,127,maybe
853,Joseph Pena,198,maybe
853,Joseph Pena,225,yes
853,Joseph Pena,323,yes
853,Joseph Pena,337,yes
853,Joseph Pena,350,maybe
853,Joseph Pena,414,maybe
853,Joseph Pena,510,maybe
853,Joseph Pena,601,yes
853,Joseph Pena,605,maybe
853,Joseph Pena,639,yes
853,Joseph Pena,678,yes
853,Joseph Pena,903,yes
853,Joseph Pena,919,maybe
853,Joseph Pena,923,yes
853,Joseph Pena,927,maybe
853,Joseph Pena,967,maybe
853,Joseph Pena,985,yes
854,Bailey Mccall,203,maybe
854,Bailey Mccall,208,yes
854,Bailey Mccall,234,yes
854,Bailey Mccall,243,yes
854,Bailey Mccall,253,yes
854,Bailey Mccall,271,yes
854,Bailey Mccall,372,maybe
854,Bailey Mccall,392,yes
854,Bailey Mccall,397,maybe
854,Bailey Mccall,441,maybe
854,Bailey Mccall,614,maybe
854,Bailey Mccall,630,maybe
854,Bailey Mccall,641,maybe
854,Bailey Mccall,668,maybe
854,Bailey Mccall,696,maybe
854,Bailey Mccall,861,maybe
854,Bailey Mccall,871,yes
854,Bailey Mccall,918,maybe
854,Bailey Mccall,967,maybe
854,Bailey Mccall,968,maybe
855,Lindsay George,100,yes
855,Lindsay George,101,maybe
855,Lindsay George,297,maybe
855,Lindsay George,333,yes
855,Lindsay George,351,maybe
855,Lindsay George,496,maybe
855,Lindsay George,557,yes
855,Lindsay George,559,yes
855,Lindsay George,560,yes
855,Lindsay George,570,maybe
855,Lindsay George,607,maybe
855,Lindsay George,666,maybe
855,Lindsay George,698,maybe
855,Lindsay George,893,maybe
855,Lindsay George,916,maybe
855,Lindsay George,940,yes
855,Lindsay George,983,maybe
855,Lindsay George,988,maybe
856,Raymond Duran,117,yes
856,Raymond Duran,228,yes
856,Raymond Duran,299,maybe
856,Raymond Duran,328,yes
856,Raymond Duran,332,maybe
856,Raymond Duran,342,yes
856,Raymond Duran,424,yes
856,Raymond Duran,472,maybe
856,Raymond Duran,609,yes
856,Raymond Duran,778,yes
856,Raymond Duran,826,yes
856,Raymond Duran,902,maybe
856,Raymond Duran,992,yes
857,Ryan Evans,22,maybe
857,Ryan Evans,41,yes
857,Ryan Evans,74,maybe
857,Ryan Evans,184,yes
857,Ryan Evans,261,yes
857,Ryan Evans,297,maybe
857,Ryan Evans,464,yes
857,Ryan Evans,568,maybe
857,Ryan Evans,574,yes
857,Ryan Evans,586,yes
857,Ryan Evans,663,yes
857,Ryan Evans,690,maybe
857,Ryan Evans,753,maybe
857,Ryan Evans,787,yes
857,Ryan Evans,812,yes
857,Ryan Evans,924,maybe
857,Ryan Evans,954,yes
858,Kimberly Tanner,2,yes
858,Kimberly Tanner,41,yes
858,Kimberly Tanner,83,yes
858,Kimberly Tanner,90,yes
858,Kimberly Tanner,126,yes
858,Kimberly Tanner,181,yes
858,Kimberly Tanner,189,yes
858,Kimberly Tanner,257,yes
858,Kimberly Tanner,288,yes
858,Kimberly Tanner,480,yes
858,Kimberly Tanner,542,yes
858,Kimberly Tanner,559,yes
858,Kimberly Tanner,566,yes
858,Kimberly Tanner,607,yes
858,Kimberly Tanner,615,yes
858,Kimberly Tanner,656,yes
858,Kimberly Tanner,704,yes
858,Kimberly Tanner,708,yes
858,Kimberly Tanner,733,yes
858,Kimberly Tanner,762,yes
858,Kimberly Tanner,769,yes
858,Kimberly Tanner,810,yes
858,Kimberly Tanner,837,yes
858,Kimberly Tanner,931,yes
858,Kimberly Tanner,938,yes
858,Kimberly Tanner,985,yes
859,Craig Morrison,47,maybe
859,Craig Morrison,106,yes
859,Craig Morrison,161,yes
859,Craig Morrison,192,maybe
859,Craig Morrison,227,yes
859,Craig Morrison,296,yes
859,Craig Morrison,371,maybe
859,Craig Morrison,399,maybe
859,Craig Morrison,412,yes
859,Craig Morrison,484,yes
859,Craig Morrison,550,yes
859,Craig Morrison,592,maybe
859,Craig Morrison,606,maybe
859,Craig Morrison,646,yes
859,Craig Morrison,653,maybe
859,Craig Morrison,700,yes
859,Craig Morrison,709,maybe
859,Craig Morrison,814,yes
859,Craig Morrison,866,maybe
859,Craig Morrison,932,maybe
859,Craig Morrison,957,yes
861,Theresa Mcconnell,12,yes
861,Theresa Mcconnell,16,yes
861,Theresa Mcconnell,60,yes
861,Theresa Mcconnell,91,maybe
861,Theresa Mcconnell,92,yes
861,Theresa Mcconnell,104,yes
861,Theresa Mcconnell,217,yes
861,Theresa Mcconnell,226,maybe
861,Theresa Mcconnell,260,yes
861,Theresa Mcconnell,444,maybe
861,Theresa Mcconnell,460,yes
861,Theresa Mcconnell,555,maybe
861,Theresa Mcconnell,560,maybe
861,Theresa Mcconnell,569,maybe
861,Theresa Mcconnell,622,maybe
861,Theresa Mcconnell,626,yes
861,Theresa Mcconnell,717,yes
861,Theresa Mcconnell,759,maybe
861,Theresa Mcconnell,763,maybe
862,Nicole White,65,yes
862,Nicole White,74,yes
862,Nicole White,150,maybe
862,Nicole White,182,maybe
862,Nicole White,297,maybe
862,Nicole White,372,yes
862,Nicole White,454,yes
862,Nicole White,495,yes
862,Nicole White,523,maybe
862,Nicole White,573,maybe
862,Nicole White,596,maybe
862,Nicole White,630,maybe
862,Nicole White,741,yes
862,Nicole White,760,yes
862,Nicole White,781,yes
862,Nicole White,798,maybe
862,Nicole White,944,yes
862,Nicole White,971,yes
863,Felicia Ramos,45,yes
863,Felicia Ramos,95,maybe
863,Felicia Ramos,170,yes
863,Felicia Ramos,224,yes
863,Felicia Ramos,360,yes
863,Felicia Ramos,434,maybe
863,Felicia Ramos,440,yes
863,Felicia Ramos,510,maybe
863,Felicia Ramos,727,maybe
863,Felicia Ramos,765,maybe
863,Felicia Ramos,868,maybe
863,Felicia Ramos,935,maybe
864,Shane Valdez,48,maybe
864,Shane Valdez,152,maybe
864,Shane Valdez,272,maybe
864,Shane Valdez,332,yes
864,Shane Valdez,480,yes
864,Shane Valdez,572,maybe
864,Shane Valdez,577,yes
864,Shane Valdez,662,yes
864,Shane Valdez,690,maybe
864,Shane Valdez,718,yes
864,Shane Valdez,785,yes
864,Shane Valdez,839,maybe
864,Shane Valdez,938,maybe
864,Shane Valdez,953,yes
865,Dr. Brandon,38,yes
865,Dr. Brandon,45,yes
865,Dr. Brandon,74,maybe
865,Dr. Brandon,124,yes
865,Dr. Brandon,156,yes
865,Dr. Brandon,205,maybe
865,Dr. Brandon,217,yes
865,Dr. Brandon,367,yes
865,Dr. Brandon,369,maybe
865,Dr. Brandon,403,yes
865,Dr. Brandon,414,yes
865,Dr. Brandon,432,yes
865,Dr. Brandon,439,yes
865,Dr. Brandon,444,maybe
865,Dr. Brandon,461,yes
865,Dr. Brandon,512,maybe
865,Dr. Brandon,537,maybe
865,Dr. Brandon,620,yes
865,Dr. Brandon,644,maybe
865,Dr. Brandon,708,maybe
865,Dr. Brandon,819,yes
865,Dr. Brandon,824,yes
865,Dr. Brandon,852,maybe
865,Dr. Brandon,853,yes
865,Dr. Brandon,886,maybe
865,Dr. Brandon,894,maybe
865,Dr. Brandon,942,maybe
865,Dr. Brandon,950,yes
866,Wendy Gross,13,yes
866,Wendy Gross,184,maybe
866,Wendy Gross,190,yes
866,Wendy Gross,301,yes
866,Wendy Gross,390,maybe
866,Wendy Gross,493,maybe
866,Wendy Gross,504,maybe
866,Wendy Gross,515,yes
866,Wendy Gross,532,maybe
866,Wendy Gross,620,yes
866,Wendy Gross,693,maybe
866,Wendy Gross,695,yes
866,Wendy Gross,698,yes
866,Wendy Gross,746,maybe
866,Wendy Gross,772,maybe
867,Carrie Hughes,25,yes
867,Carrie Hughes,34,maybe
867,Carrie Hughes,141,yes
867,Carrie Hughes,189,yes
867,Carrie Hughes,225,maybe
867,Carrie Hughes,327,yes
867,Carrie Hughes,346,maybe
867,Carrie Hughes,354,maybe
867,Carrie Hughes,377,maybe
867,Carrie Hughes,441,maybe
867,Carrie Hughes,488,maybe
867,Carrie Hughes,522,maybe
867,Carrie Hughes,534,yes
867,Carrie Hughes,660,maybe
867,Carrie Hughes,664,yes
867,Carrie Hughes,699,yes
867,Carrie Hughes,715,maybe
867,Carrie Hughes,719,maybe
867,Carrie Hughes,728,maybe
867,Carrie Hughes,801,yes
867,Carrie Hughes,860,yes
867,Carrie Hughes,867,yes
867,Carrie Hughes,912,maybe
867,Carrie Hughes,942,yes
868,Larry Herrera,7,yes
868,Larry Herrera,41,yes
868,Larry Herrera,50,maybe
868,Larry Herrera,53,maybe
868,Larry Herrera,78,maybe
868,Larry Herrera,237,maybe
868,Larry Herrera,258,maybe
868,Larry Herrera,283,maybe
868,Larry Herrera,364,maybe
868,Larry Herrera,412,maybe
868,Larry Herrera,498,yes
868,Larry Herrera,511,yes
868,Larry Herrera,522,yes
868,Larry Herrera,544,maybe
868,Larry Herrera,571,maybe
868,Larry Herrera,577,maybe
868,Larry Herrera,587,maybe
868,Larry Herrera,649,maybe
868,Larry Herrera,654,yes
868,Larry Herrera,714,maybe
868,Larry Herrera,773,maybe
868,Larry Herrera,926,maybe
868,Larry Herrera,948,maybe
869,Kathryn Winters,28,maybe
869,Kathryn Winters,62,maybe
869,Kathryn Winters,101,maybe
869,Kathryn Winters,102,maybe
869,Kathryn Winters,197,yes
869,Kathryn Winters,246,maybe
869,Kathryn Winters,306,yes
869,Kathryn Winters,314,yes
869,Kathryn Winters,348,yes
869,Kathryn Winters,354,yes
869,Kathryn Winters,388,maybe
869,Kathryn Winters,389,yes
869,Kathryn Winters,495,maybe
869,Kathryn Winters,573,maybe
869,Kathryn Winters,589,maybe
869,Kathryn Winters,621,yes
869,Kathryn Winters,632,maybe
869,Kathryn Winters,642,maybe
869,Kathryn Winters,682,yes
869,Kathryn Winters,710,yes
869,Kathryn Winters,721,maybe
869,Kathryn Winters,736,yes
869,Kathryn Winters,877,yes
869,Kathryn Winters,901,yes
869,Kathryn Winters,943,yes
870,Sarah Fuller,176,maybe
870,Sarah Fuller,187,yes
870,Sarah Fuller,211,maybe
870,Sarah Fuller,268,yes
870,Sarah Fuller,302,yes
870,Sarah Fuller,400,maybe
870,Sarah Fuller,403,yes
870,Sarah Fuller,453,maybe
870,Sarah Fuller,517,yes
870,Sarah Fuller,612,yes
870,Sarah Fuller,624,maybe
870,Sarah Fuller,636,maybe
870,Sarah Fuller,680,yes
870,Sarah Fuller,714,maybe
870,Sarah Fuller,730,yes
870,Sarah Fuller,735,yes
870,Sarah Fuller,758,maybe
870,Sarah Fuller,836,maybe
870,Sarah Fuller,875,yes
871,Brian Smith,122,maybe
871,Brian Smith,189,yes
871,Brian Smith,250,maybe
871,Brian Smith,282,maybe
871,Brian Smith,371,yes
871,Brian Smith,454,yes
871,Brian Smith,514,maybe
871,Brian Smith,560,maybe
871,Brian Smith,710,yes
871,Brian Smith,821,yes
871,Brian Smith,874,yes
871,Brian Smith,888,yes
871,Brian Smith,903,yes
871,Brian Smith,922,yes
871,Brian Smith,952,yes
872,Andrew Washington,24,maybe
872,Andrew Washington,48,yes
872,Andrew Washington,147,yes
872,Andrew Washington,215,yes
872,Andrew Washington,268,yes
872,Andrew Washington,271,maybe
872,Andrew Washington,306,maybe
872,Andrew Washington,326,yes
872,Andrew Washington,375,yes
872,Andrew Washington,439,maybe
872,Andrew Washington,443,maybe
872,Andrew Washington,490,yes
872,Andrew Washington,530,yes
872,Andrew Washington,582,maybe
872,Andrew Washington,612,maybe
872,Andrew Washington,688,yes
872,Andrew Washington,697,maybe
872,Andrew Washington,816,yes
872,Andrew Washington,822,yes
872,Andrew Washington,848,yes
872,Andrew Washington,882,yes
872,Andrew Washington,893,yes
872,Andrew Washington,908,maybe
872,Andrew Washington,930,yes
872,Andrew Washington,941,maybe
872,Andrew Washington,947,yes
872,Andrew Washington,974,maybe
872,Andrew Washington,977,maybe
872,Andrew Washington,983,maybe
873,Michelle Barry,3,maybe
873,Michelle Barry,142,yes
873,Michelle Barry,173,maybe
873,Michelle Barry,323,yes
873,Michelle Barry,363,maybe
873,Michelle Barry,416,maybe
873,Michelle Barry,504,maybe
873,Michelle Barry,528,maybe
873,Michelle Barry,587,maybe
873,Michelle Barry,621,yes
873,Michelle Barry,632,maybe
873,Michelle Barry,702,yes
873,Michelle Barry,720,maybe
873,Michelle Barry,806,maybe
873,Michelle Barry,826,yes
874,Kristen Williams,22,yes
874,Kristen Williams,72,yes
874,Kristen Williams,97,yes
874,Kristen Williams,169,maybe
874,Kristen Williams,197,maybe
874,Kristen Williams,260,yes
874,Kristen Williams,338,maybe
874,Kristen Williams,350,maybe
874,Kristen Williams,354,yes
874,Kristen Williams,507,maybe
874,Kristen Williams,515,yes
874,Kristen Williams,590,maybe
874,Kristen Williams,725,maybe
874,Kristen Williams,759,maybe
874,Kristen Williams,860,yes
874,Kristen Williams,952,maybe
875,Samuel Garcia,40,yes
875,Samuel Garcia,266,yes
875,Samuel Garcia,317,yes
875,Samuel Garcia,352,yes
875,Samuel Garcia,380,yes
875,Samuel Garcia,417,yes
875,Samuel Garcia,430,yes
875,Samuel Garcia,489,yes
875,Samuel Garcia,607,yes
875,Samuel Garcia,667,yes
875,Samuel Garcia,698,yes
875,Samuel Garcia,719,yes
875,Samuel Garcia,815,yes
875,Samuel Garcia,831,yes
875,Samuel Garcia,855,yes
875,Samuel Garcia,874,yes
875,Samuel Garcia,929,yes
875,Samuel Garcia,964,yes
876,Derrick Hughes,5,maybe
876,Derrick Hughes,16,maybe
876,Derrick Hughes,31,maybe
876,Derrick Hughes,105,maybe
876,Derrick Hughes,132,maybe
876,Derrick Hughes,255,maybe
876,Derrick Hughes,283,yes
876,Derrick Hughes,504,maybe
876,Derrick Hughes,513,maybe
876,Derrick Hughes,530,yes
876,Derrick Hughes,574,maybe
876,Derrick Hughes,583,maybe
876,Derrick Hughes,661,yes
876,Derrick Hughes,718,yes
876,Derrick Hughes,746,yes
876,Derrick Hughes,765,maybe
876,Derrick Hughes,877,maybe
876,Derrick Hughes,934,yes
876,Derrick Hughes,952,maybe
877,Connie Carter,195,maybe
877,Connie Carter,212,maybe
877,Connie Carter,311,maybe
877,Connie Carter,321,yes
877,Connie Carter,334,maybe
877,Connie Carter,375,maybe
877,Connie Carter,390,yes
877,Connie Carter,451,maybe
877,Connie Carter,466,yes
877,Connie Carter,482,yes
877,Connie Carter,530,yes
877,Connie Carter,602,yes
877,Connie Carter,626,yes
877,Connie Carter,636,yes
877,Connie Carter,639,maybe
877,Connie Carter,650,yes
877,Connie Carter,743,yes
877,Connie Carter,817,maybe
877,Connie Carter,835,maybe
877,Connie Carter,839,yes
877,Connie Carter,919,yes
877,Connie Carter,925,maybe
877,Connie Carter,946,yes
877,Connie Carter,956,yes
878,Linda Hughes,14,maybe
878,Linda Hughes,39,yes
878,Linda Hughes,50,maybe
878,Linda Hughes,71,yes
878,Linda Hughes,107,maybe
878,Linda Hughes,188,maybe
878,Linda Hughes,189,maybe
878,Linda Hughes,220,maybe
878,Linda Hughes,307,yes
878,Linda Hughes,363,maybe
878,Linda Hughes,424,maybe
878,Linda Hughes,522,yes
878,Linda Hughes,538,maybe
878,Linda Hughes,593,yes
878,Linda Hughes,611,maybe
878,Linda Hughes,656,yes
878,Linda Hughes,719,maybe
878,Linda Hughes,951,maybe
879,Andre Navarro,26,yes
879,Andre Navarro,76,yes
879,Andre Navarro,86,maybe
879,Andre Navarro,163,yes
879,Andre Navarro,241,yes
879,Andre Navarro,247,yes
879,Andre Navarro,396,yes
879,Andre Navarro,492,yes
879,Andre Navarro,589,yes
879,Andre Navarro,660,yes
879,Andre Navarro,834,yes
879,Andre Navarro,974,yes
880,Zachary Robinson,76,maybe
880,Zachary Robinson,119,yes
880,Zachary Robinson,126,yes
880,Zachary Robinson,143,yes
880,Zachary Robinson,230,yes
880,Zachary Robinson,241,maybe
880,Zachary Robinson,255,yes
880,Zachary Robinson,290,yes
880,Zachary Robinson,430,maybe
880,Zachary Robinson,477,maybe
880,Zachary Robinson,514,yes
880,Zachary Robinson,525,maybe
880,Zachary Robinson,537,yes
880,Zachary Robinson,551,maybe
880,Zachary Robinson,589,yes
880,Zachary Robinson,594,maybe
880,Zachary Robinson,631,yes
880,Zachary Robinson,662,yes
880,Zachary Robinson,701,yes
880,Zachary Robinson,720,yes
880,Zachary Robinson,741,yes
880,Zachary Robinson,748,yes
880,Zachary Robinson,855,yes
880,Zachary Robinson,919,maybe
880,Zachary Robinson,928,yes
880,Zachary Robinson,953,maybe
880,Zachary Robinson,980,maybe
1639,Adam Austin,125,maybe
1639,Adam Austin,149,yes
1639,Adam Austin,156,maybe
1639,Adam Austin,215,yes
1639,Adam Austin,256,yes
1639,Adam Austin,324,yes
1639,Adam Austin,383,maybe
1639,Adam Austin,457,maybe
1639,Adam Austin,468,yes
1639,Adam Austin,493,maybe
1639,Adam Austin,535,maybe
1639,Adam Austin,608,maybe
1639,Adam Austin,623,maybe
1639,Adam Austin,667,yes
1639,Adam Austin,713,yes
1639,Adam Austin,815,yes
1639,Adam Austin,835,yes
1639,Adam Austin,848,yes
1639,Adam Austin,893,yes
1639,Adam Austin,923,yes
1639,Adam Austin,998,yes
882,Kenneth Floyd,12,maybe
882,Kenneth Floyd,72,maybe
882,Kenneth Floyd,149,maybe
882,Kenneth Floyd,168,yes
882,Kenneth Floyd,249,maybe
882,Kenneth Floyd,263,maybe
882,Kenneth Floyd,314,maybe
882,Kenneth Floyd,352,maybe
882,Kenneth Floyd,386,yes
882,Kenneth Floyd,422,maybe
882,Kenneth Floyd,477,yes
882,Kenneth Floyd,551,yes
882,Kenneth Floyd,570,yes
882,Kenneth Floyd,603,yes
882,Kenneth Floyd,669,maybe
882,Kenneth Floyd,733,yes
882,Kenneth Floyd,785,maybe
882,Kenneth Floyd,793,yes
882,Kenneth Floyd,868,yes
882,Kenneth Floyd,875,yes
882,Kenneth Floyd,901,maybe
882,Kenneth Floyd,976,yes
883,Derek Ballard,88,yes
883,Derek Ballard,104,yes
883,Derek Ballard,156,maybe
883,Derek Ballard,164,maybe
883,Derek Ballard,212,yes
883,Derek Ballard,223,yes
883,Derek Ballard,284,maybe
883,Derek Ballard,368,maybe
883,Derek Ballard,405,yes
883,Derek Ballard,426,yes
883,Derek Ballard,454,yes
883,Derek Ballard,499,maybe
883,Derek Ballard,524,maybe
883,Derek Ballard,583,maybe
883,Derek Ballard,626,yes
883,Derek Ballard,678,maybe
883,Derek Ballard,695,yes
883,Derek Ballard,746,maybe
883,Derek Ballard,772,maybe
885,Lauren Carney,42,maybe
885,Lauren Carney,243,maybe
885,Lauren Carney,354,yes
885,Lauren Carney,535,yes
885,Lauren Carney,579,yes
885,Lauren Carney,715,maybe
885,Lauren Carney,758,yes
885,Lauren Carney,816,yes
885,Lauren Carney,834,maybe
885,Lauren Carney,846,yes
885,Lauren Carney,884,yes
885,Lauren Carney,949,maybe
885,Lauren Carney,990,maybe
2215,Robert Barber,21,maybe
2215,Robert Barber,54,maybe
2215,Robert Barber,148,yes
2215,Robert Barber,239,maybe
2215,Robert Barber,311,maybe
2215,Robert Barber,399,yes
2215,Robert Barber,429,yes
2215,Robert Barber,465,maybe
2215,Robert Barber,477,yes
2215,Robert Barber,507,yes
2215,Robert Barber,566,maybe
2215,Robert Barber,586,yes
2215,Robert Barber,613,yes
2215,Robert Barber,638,yes
2215,Robert Barber,644,yes
2215,Robert Barber,682,maybe
2215,Robert Barber,788,yes
2215,Robert Barber,810,maybe
2215,Robert Barber,824,yes
2215,Robert Barber,825,yes
2215,Robert Barber,942,yes
2188,Amy Walton,82,yes
2188,Amy Walton,90,yes
2188,Amy Walton,164,yes
2188,Amy Walton,394,yes
2188,Amy Walton,398,yes
2188,Amy Walton,488,yes
2188,Amy Walton,547,yes
2188,Amy Walton,640,maybe
2188,Amy Walton,671,maybe
2188,Amy Walton,673,maybe
2188,Amy Walton,742,maybe
2188,Amy Walton,817,yes
2188,Amy Walton,854,yes
2188,Amy Walton,883,maybe
2188,Amy Walton,896,yes
2188,Amy Walton,927,yes
888,Michael Johnson,14,yes
888,Michael Johnson,292,yes
888,Michael Johnson,343,maybe
888,Michael Johnson,353,yes
888,Michael Johnson,397,yes
888,Michael Johnson,436,maybe
888,Michael Johnson,528,yes
888,Michael Johnson,570,yes
888,Michael Johnson,619,maybe
888,Michael Johnson,649,maybe
888,Michael Johnson,737,maybe
888,Michael Johnson,803,maybe
888,Michael Johnson,815,yes
888,Michael Johnson,818,yes
888,Michael Johnson,842,maybe
888,Michael Johnson,853,maybe
888,Michael Johnson,857,yes
888,Michael Johnson,915,yes
888,Michael Johnson,943,yes
888,Michael Johnson,957,maybe
888,Michael Johnson,995,yes
889,Sandra Hoffman,32,yes
889,Sandra Hoffman,69,maybe
889,Sandra Hoffman,160,yes
889,Sandra Hoffman,205,maybe
889,Sandra Hoffman,242,maybe
889,Sandra Hoffman,278,maybe
889,Sandra Hoffman,517,yes
889,Sandra Hoffman,575,yes
889,Sandra Hoffman,640,maybe
889,Sandra Hoffman,662,maybe
889,Sandra Hoffman,663,maybe
889,Sandra Hoffman,667,yes
889,Sandra Hoffman,677,yes
889,Sandra Hoffman,701,yes
889,Sandra Hoffman,704,yes
889,Sandra Hoffman,712,yes
889,Sandra Hoffman,826,maybe
889,Sandra Hoffman,931,maybe
889,Sandra Hoffman,986,maybe
1118,Kenneth Salinas,21,maybe
1118,Kenneth Salinas,42,maybe
1118,Kenneth Salinas,122,yes
1118,Kenneth Salinas,136,maybe
1118,Kenneth Salinas,145,yes
1118,Kenneth Salinas,318,yes
1118,Kenneth Salinas,361,maybe
1118,Kenneth Salinas,371,maybe
1118,Kenneth Salinas,412,maybe
1118,Kenneth Salinas,425,maybe
1118,Kenneth Salinas,437,maybe
1118,Kenneth Salinas,445,yes
1118,Kenneth Salinas,446,yes
1118,Kenneth Salinas,502,maybe
1118,Kenneth Salinas,571,yes
1118,Kenneth Salinas,595,maybe
1118,Kenneth Salinas,624,yes
1118,Kenneth Salinas,693,yes
1118,Kenneth Salinas,702,yes
1118,Kenneth Salinas,733,maybe
1118,Kenneth Salinas,819,yes
1118,Kenneth Salinas,822,maybe
1118,Kenneth Salinas,843,maybe
1118,Kenneth Salinas,885,yes
1118,Kenneth Salinas,887,maybe
1118,Kenneth Salinas,899,yes
1118,Kenneth Salinas,934,yes
1118,Kenneth Salinas,994,yes
891,Sharon Kelly,11,yes
891,Sharon Kelly,152,maybe
891,Sharon Kelly,218,yes
891,Sharon Kelly,293,maybe
891,Sharon Kelly,300,yes
891,Sharon Kelly,339,maybe
891,Sharon Kelly,344,yes
891,Sharon Kelly,357,yes
891,Sharon Kelly,418,maybe
891,Sharon Kelly,422,maybe
891,Sharon Kelly,514,yes
891,Sharon Kelly,589,yes
891,Sharon Kelly,607,maybe
891,Sharon Kelly,621,yes
891,Sharon Kelly,734,maybe
891,Sharon Kelly,994,maybe
893,Steven Robinson,206,maybe
893,Steven Robinson,214,maybe
893,Steven Robinson,310,yes
893,Steven Robinson,395,maybe
893,Steven Robinson,477,maybe
893,Steven Robinson,489,yes
893,Steven Robinson,585,maybe
893,Steven Robinson,615,yes
893,Steven Robinson,754,yes
893,Steven Robinson,879,maybe
893,Steven Robinson,986,maybe
894,John Macias,111,maybe
894,John Macias,120,maybe
894,John Macias,288,maybe
894,John Macias,345,yes
894,John Macias,373,yes
894,John Macias,390,yes
894,John Macias,486,yes
894,John Macias,527,maybe
894,John Macias,540,yes
894,John Macias,553,maybe
894,John Macias,686,maybe
894,John Macias,689,yes
894,John Macias,724,yes
894,John Macias,725,yes
894,John Macias,750,yes
894,John Macias,782,yes
894,John Macias,824,maybe
894,John Macias,859,yes
894,John Macias,866,maybe
894,John Macias,946,yes
894,John Macias,960,maybe
894,John Macias,970,yes
895,Brian Ramsey,19,yes
895,Brian Ramsey,38,yes
895,Brian Ramsey,59,maybe
895,Brian Ramsey,223,maybe
895,Brian Ramsey,234,yes
895,Brian Ramsey,267,maybe
895,Brian Ramsey,376,maybe
895,Brian Ramsey,387,yes
895,Brian Ramsey,390,yes
895,Brian Ramsey,418,maybe
895,Brian Ramsey,490,maybe
895,Brian Ramsey,502,maybe
895,Brian Ramsey,561,maybe
895,Brian Ramsey,591,maybe
895,Brian Ramsey,599,maybe
895,Brian Ramsey,706,yes
895,Brian Ramsey,738,yes
895,Brian Ramsey,772,yes
895,Brian Ramsey,978,yes
896,Jamie Gardner,3,maybe
896,Jamie Gardner,9,maybe
896,Jamie Gardner,17,yes
896,Jamie Gardner,30,yes
896,Jamie Gardner,217,maybe
896,Jamie Gardner,238,yes
896,Jamie Gardner,255,yes
896,Jamie Gardner,270,yes
896,Jamie Gardner,279,maybe
896,Jamie Gardner,303,yes
896,Jamie Gardner,348,yes
896,Jamie Gardner,409,yes
896,Jamie Gardner,432,yes
896,Jamie Gardner,485,yes
896,Jamie Gardner,490,yes
896,Jamie Gardner,509,maybe
896,Jamie Gardner,510,yes
896,Jamie Gardner,532,yes
896,Jamie Gardner,562,yes
896,Jamie Gardner,633,yes
896,Jamie Gardner,665,maybe
897,Jordan Rodriguez,54,maybe
897,Jordan Rodriguez,158,yes
897,Jordan Rodriguez,190,yes
897,Jordan Rodriguez,251,maybe
897,Jordan Rodriguez,328,yes
897,Jordan Rodriguez,347,yes
897,Jordan Rodriguez,426,yes
897,Jordan Rodriguez,434,yes
897,Jordan Rodriguez,440,maybe
897,Jordan Rodriguez,456,yes
897,Jordan Rodriguez,535,yes
897,Jordan Rodriguez,539,yes
897,Jordan Rodriguez,541,maybe
897,Jordan Rodriguez,561,maybe
897,Jordan Rodriguez,606,maybe
897,Jordan Rodriguez,687,yes
897,Jordan Rodriguez,697,yes
897,Jordan Rodriguez,847,maybe
898,Kevin Griffith,32,yes
898,Kevin Griffith,197,maybe
898,Kevin Griffith,334,yes
898,Kevin Griffith,355,yes
898,Kevin Griffith,464,yes
898,Kevin Griffith,468,maybe
898,Kevin Griffith,481,yes
898,Kevin Griffith,513,maybe
898,Kevin Griffith,578,yes
898,Kevin Griffith,724,maybe
898,Kevin Griffith,765,yes
898,Kevin Griffith,782,yes
898,Kevin Griffith,797,maybe
898,Kevin Griffith,885,maybe
898,Kevin Griffith,956,yes
899,Jennifer Hammond,63,maybe
899,Jennifer Hammond,67,maybe
899,Jennifer Hammond,98,yes
899,Jennifer Hammond,100,yes
899,Jennifer Hammond,115,maybe
899,Jennifer Hammond,166,maybe
899,Jennifer Hammond,178,maybe
899,Jennifer Hammond,231,yes
899,Jennifer Hammond,312,maybe
899,Jennifer Hammond,318,maybe
899,Jennifer Hammond,399,yes
899,Jennifer Hammond,468,maybe
899,Jennifer Hammond,477,maybe
899,Jennifer Hammond,611,maybe
899,Jennifer Hammond,729,yes
899,Jennifer Hammond,796,maybe
899,Jennifer Hammond,860,maybe
899,Jennifer Hammond,907,maybe
899,Jennifer Hammond,927,yes
899,Jennifer Hammond,943,yes
899,Jennifer Hammond,947,yes
900,Sherry Oconnell,32,yes
900,Sherry Oconnell,59,maybe
900,Sherry Oconnell,107,maybe
900,Sherry Oconnell,130,yes
900,Sherry Oconnell,212,maybe
900,Sherry Oconnell,306,yes
900,Sherry Oconnell,346,yes
900,Sherry Oconnell,379,maybe
900,Sherry Oconnell,489,maybe
900,Sherry Oconnell,496,maybe
900,Sherry Oconnell,520,yes
900,Sherry Oconnell,538,yes
900,Sherry Oconnell,556,yes
900,Sherry Oconnell,650,yes
900,Sherry Oconnell,857,yes
900,Sherry Oconnell,928,yes
